Date,ARDATA.Death,ARDATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,2,2
2020-3-26,3,1
2020-3-27,3,0
2020-3-28,5,2
2020-3-29,6,1
2020-3-30,7,1
2020-3-31,8,1
2020-4-1,10,2
2020-4-2,12,2
2020-4-3,12,0
2020-4-4,14,2
2020-4-5,16,2
2020-4-6,16,0
2020-4-7,16,0
2020-4-8,18,2
2020-4-9,21,3
2020-4-10,23,2
2020-4-11,24,1
2020-4-12,27,3
2020-4-13,30,3
2020-4-14,30,0
2020-4-15,33,3
2020-4-16,37,4
2020-4-17,37,0
2020-4-18,38,1
2020-4-19,40,2
2020-4-20,42,2
2020-4-21,43,1
2020-4-22,42,0
2020-4-23,45,3
2020-4-24,45,0
2020-4-25,47,2
2020-4-26,49,2
2020-4-27,50,1
2020-4-28,52,2
2020-4-29,59,7
2020-4-30,61,2
2020-5-1,64,3
2020-5-2,73,9
2020-5-3,76,3
2020-5-4,81,5
2020-5-5,83,2
2020-5-6,85,2
2020-5-7,87,2
2020-5-8,88,1
2020-5-9,88,0
2020-5-10,88,0
2020-5-11,94,6
2020-5-12,95,1
2020-5-13,95,0
2020-5-14,97,2
2020-5-15,98,1
2020-5-16,98,0
2020-5-17,98,0
2020-5-18,100,2
2020-5-19,102,2
2020-5-20,107,5
2020-5-21,110,3
2020-5-22,113,3
2020-5-23,113,0
2020-5-24,116,3
2020-5-25,117,1
2020-5-26,119,2
2020-5-27,120,1
2020-5-28,120,0
2020-5-29,125,5
2020-5-30,133,8
2020-5-31,133,0
2020-6-1,133,0
2020-6-2,133,0
2020-6-3,142,9
2020-6-4,142,0
2020-6-5,152,10
2020-6-6,154,2
2020-6-7,154,0
2020-6-8,155,1
2020-6-9,161,6
2020-6-10,165,4
