Date,AZDATA.Death,AZDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,1,1
2020-3-22,2,1
2020-3-23,2,0
2020-3-24,5,3
2020-3-25,6,1
2020-3-26,8,2
2020-3-27,13,5
2020-3-28,15,2
2020-3-29,17,2
2020-3-30,20,3
2020-3-31,24,4
2020-4-1,29,5
2020-4-2,32,3
2020-4-3,41,9
2020-4-4,52,11
2020-4-5,64,12
2020-4-6,65,1
2020-4-7,73,8
2020-4-8,80,7
2020-4-9,89,9
2020-4-10,97,8
2020-4-11,108,11
2020-4-12,115,7
2020-4-13,122,7
2020-4-14,131,9
2020-4-15,142,11
2020-4-16,150,8
2020-4-17,169,19
2020-4-18,177,8
2020-4-19,184,7
2020-4-20,187,3
2020-4-21,208,21
2020-4-22,229,21
2020-4-23,249,20
2020-4-24,266,17
2020-4-25,266,0
2020-4-26,275,9
2020-4-27,275,0
2020-4-28,293,18
2020-4-29,304,11
2020-4-30,320,16
2020-5-1,330,10
2020-5-2,348,18
2020-5-3,362,14
2020-5-4,362,0
2020-5-5,395,33
2020-5-6,426,31
2020-5-7,450,24
2020-5-8,517,67
2020-5-9,532,15
2020-5-10,536,4
2020-5-11,542,6
2020-5-12,562,20
2020-5-13,594,32
2020-5-14,624,30
2020-5-15,651,27
2020-5-16,679,28
2020-5-17,680,1
2020-5-18,686,6
2020-5-19,704,18
2020-5-20,747,43
2020-5-21,763,16
2020-5-22,775,12
2020-5-23,799,24
2020-5-24,800,1
2020-5-25,806,6
2020-5-26,807,1
2020-5-27,831,24
2020-5-28,857,26
2020-5-29,885,28
2020-5-30,903,18
2020-5-31,906,3
2020-6-1,917,11
