Date,CADATA.Death,CADATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,4,4
2020-3-13,4,0
2020-3-14,5,1
2020-3-15,5,0
2020-3-16,6,1
2020-3-17,11,5
2020-3-18,13,2
2020-3-19,18,5
2020-3-20,20,2
2020-3-21,24,4
2020-3-22,27,3
2020-3-23,27,0
2020-3-24,40,13
2020-3-25,53,13
2020-3-26,65,12
2020-3-27,78,13
2020-3-28,101,23
2020-3-29,123,22
2020-3-30,133,10
2020-3-31,153,20
2020-4-1,171,18
2020-4-2,203,32
2020-4-3,237,34
2020-4-4,276,39
2020-4-5,319,43
2020-4-6,343,24
2020-4-7,374,31
2020-4-8,442,68
2020-4-9,492,50
2020-4-10,541,49
2020-4-11,609,68
2020-4-12,651,42
2020-4-13,687,36
2020-4-14,758,71
2020-4-15,821,63
2020-4-16,890,69
2020-4-17,985,95
2020-4-18,1072,87
2020-4-19,1166,94
2020-4-20,1208,42
2020-4-21,1268,60
2020-4-22,1354,86
2020-4-23,1469,115
2020-4-24,1562,93
2020-4-25,1651,89
2020-4-26,1710,59
2020-4-27,1755,45
2020-4-28,1809,54
2020-4-29,1887,78
2020-4-30,1982,95
2020-5-1,2073,91
2020-5-2,2171,98
2020-5-3,2215,44
2020-5-4,2254,39
2020-5-5,2317,63
2020-5-6,2412,95
2020-5-7,2504,92
2020-5-8,2585,81
2020-5-9,2678,93
2020-5-10,2745,67
2020-5-11,2770,25
2020-5-12,2847,77
2020-5-13,2934,87
2020-5-14,3032,98
2020-5-15,3108,76
2020-5-16,3204,96
2020-5-17,3261,57
2020-5-18,3302,41
2020-5-19,3334,32
2020-5-20,3436,102
2020-5-21,3542,106
2020-5-22,3630,88
2020-5-23,3708,78
2020-5-24,3774,66
2020-5-25,3795,21
2020-5-26,3814,19
2020-5-27,3884,70
2020-5-28,3973,89
